method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-SRA-BP-support,gap_repair,high_gap__mid_repair,29,0.9655172413793104,-13.835670531524308,-0.48962096716745324,0.10344827586206896,0.8620689655172413,2.591364829248027,0.8620689655172413,3.12484302336502
LRBN-SRA-BP-support,gap_repair,high_gap__high_repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-continuous,gap_repair,low_gap__low_repair,48,0.0,-1.7074078890635983e-13,-8.537152466440526e-15,0.0,0.5,2.1977773793156127e-06,0.0,1.0062526089747177e-06
LRBN-SRA-BP-continuous,gap_repair,low_gap__mid_repair,35,0.0,-1.0398004780973211e-13,-5.164123097399299e-15,0.0,0.4857142857142857,1.500759502961173e-06,0.0,8.495817381611085e-07
LRBN-SRA-BP-continuous,gap_repair,low_gap__high_repair,90,0.0,-1.4403463323519394e-14,-5.551115123125783e-17,0.0,0.2111111111111111,5.510209117603734e-07,0.0,1.534202349030029e-08
LRBN-SRA-BP-continuous,gap_repair,mid_gap__low_repair,258,0.26356589147286824,-4.3791113655615757e-07,-2.0046819268546723e-08,0.15891472868217055,0.7364341085271318,1.7130712965259514,0.17829457364341086,2.497661315960461
LRBN-SRA-BP-continuous,gap_repair,mid_gap__mid_repair,119,0.12605042016806722,-1.1362617255401805e-07,-5.675547429321332e-09,0.12605042016806722,0.7478991596638656,0.7544796156776944,0.1092436974789916,0.7153493012501688
LRBN-SRA-BP-continuous,gap_repair,mid_gap__high_repair,24,0.0,2.922783740143679e-10,1.2324775459463902e-11,0.041666666666666664,0.625,0.00020050244592995783,0.0,-0.0024375799029974312
LRBN-SRA-BP-continuous,gap_repair,high_gap__low_repair,163,1.0,-2.810567877466276,-0.13702451296898732,0.09815950920245399,0.901840490797546,2.7325454528732656,0.901840490797546,1016.3463228980761
LRBN-SRA-BP-continuous,gap_repair,high_gap__mid_repair,29,1.0,-4.430319605296476,-0.15678151377367425,0.06896551724137931,0.9310344827586207,1043491.6196785604,0.9310344827586207,984.6137097409824
LRBN-SRA-BP-continuous,gap_repair,high_gap__high_repair,2,1.0,0.015305381037022258,5.177986398313683e-05,0.5,0.5,0.09013970257827937,0.5,244.83062203490402
