method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00074,ETTh1,DLinear,192,2026,test,0.17651298304103946,True,1.0,0.8509487284117829,0.0,0.7951367824451954,0.4185484509165218,-21.662940378783812,low_gap_high_repair_harm
LRBN-BP-always,test_00094,ETTh1,DLinear,192,2026,test,0.15115378868552343,True,1.0,0.781761507552753,1.890985399430498,0.7962689425820091,0.38962118311498184,-6.3999741534820975,low_gap_high_repair_harm
LRBN-BP-always,test_00023,ETTh1,DLinear,192,2026,test,0.12342508573146027,True,1.0,0.9530010144859876,2.0476632262442234,0.8732370018667566,0.5833434604519795,-20.516044943121262,low_gap_high_repair_harm
LRBN-BP-always,test_00054,ETTh1,DLinear,192,2026,test,0.09894345514714198,True,1.0,0.9399756525917222,0.0,0.7335398892159357,0.4100578732886009,-7.062888039889868,low_gap_high_repair_harm
LRBN-BP-always,test_00075,ETTh1,DLinear,192,2026,test,0.08870513615383402,True,1.0,0.212114391655463,1.1706225822377823,0.9576195166094789,0.9325779708613501,-180.5757287609051,low_gap_high_repair_harm
LRBN-BP-always,test_00038,ETTh1,DLinear,192,2026,test,0.07110665739281075,True,1.0,0.5890012236983856,0.0,0.8902165769499362,0.49955476635796,-24.558184964999672,low_gap_high_repair_harm
LRBN-BP-always,test_00064,ETTh1,DLinear,192,2026,test,0.07033894775774918,True,1.0,0.0690744873248829,0.0,0.9686599232734778,0.6666666666666666,-164.03976133587568,low_gap_high_repair_harm
LRBN-BP-always,test_00040,ETTh1,DLinear,192,2026,test,0.05601863284895359,True,1.0,0.25573268339323135,0.24891006644762786,0.9161264536134124,0.7021073632694338,-30.948652653265786,low_gap_high_repair_harm
LRBN-BP-always,test_00046,ETTh1,DLinear,192,2026,test,0.05139609330054018,True,1.0,0.120934714885734,0.36941240004176634,0.9779140465252494,0.6666666666666666,-291.8379625014847,low_gap_high_repair_harm
LRBN-BP-always,test_00063,ETTh1,DLinear,192,2026,test,0.004785773196913645,True,1.0,0.024901766864869973,0.3999294646462863,0.9938630835276506,0.6666666666666666,-330.728732291872,low_gap_high_repair_harm
